股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
002440.SZ,闰土股份,20260121,38.4017758046615,63.04106548279689,23.640399556048845
301031.SZ,中熔电气,20260121,1.1087866108786635,4.728033472803348,-2.7754532775453407
600352.SH,浙江龙盛,20260121,11.317829457364335,27.20930232558139,2.2480620155038693
600988.SH,赤峰黄金,20260121,0.36467830164105386,0.9898411044542915,11.852044803334195
603991.SH,至正股份,20260121,-1.4629049111807628,8.88192267502613,17.403924300476035
688047.SH,龙芯中科,20260121,-11.996398829619622,-11.46185010128292,-21.37632230474905
688399.SH,硕世生物,20260121,-15.770862800565782,-26.591230551626595,-35.51390853371051
688536.SH,思瑞浦,20260121,-6.01129024055332,-8.574479987794327,-5.406092661343638
000927.SZ,中国铁物,20260122,-3.7288135593220444,0.3389830508474504,6.101694915254227
000968.SZ,蓝焰控股,20260122,-3.3333333333333286,6.17283950617284,42.83950617283951
001316.SZ,润贝航科,20260122,30.136986301369873,5.915317559153179,-0.6849315068493116
002271.SZ,东方雨虹,20260122,7.407407407407394,5.82010582010581,-9.876543209876552
002785.SZ,万里石,20260122,7.200929152148667,11.219512195121965,-10.174216027874555
002937.SZ,兴瑞科技,20260122,-11.854460093896705,1.095461658841945,-4.303599374021902
002985.SZ,北摩高科,20260122,11.886612672701293,-0.9051929490233337,-13.434969032872782
600770.SH,综艺股份,20260122,0.44117647058823894,-1.764705882352943,-17.794117647058822
603095.SH,越剑智能,20260122,4.327902240325854,1.8329938900203637,-10.081466395112018
000990.SZ,诚志股份,20260123,-7.70901194353964,-2.9315960912052264,12.703583061889248
002405.SZ,四维图新,20260123,-5.871886120996442,-4.982206405693955,-15.569395017793594
300461.SZ,田中精机,20260123,85.10248901903368,99.23133235724744,113.39677891654465
600916.SH,中国黄金,20260123,23.86117136659435,33.40563991323211,3.796095444685462
600959.SH,江苏有线,20260123,4.422604422604415,-0.9828009828009836,-4.176904176904186
601118.SH,海南橡胶,20260123,1.1799410029498536,13.569321533923304,-2.06489675516225
601702.SH,华峰铝业,20260123,2.2087483759203184,4.2442615851017775,-14.032048505846682
603212.SH,赛伍技术,20260123,4.495073891625618,-8.866995073891612,-15.825123152709352
603806.SH,福斯特,20260123,6.759098786828434,5.257076834199886,9.185441941074524
605016.SH,百龙创园,20260123,8.370400323493733,0.12131014961585579,1.1322280630812824
688223.SH,晶科能源,20260123,20.724637681159415,6.666666666666665,2.6086956521739086
688726.SH,拉普拉斯,20260123,30.53655023406554,32.46308966510622,2.7727763773856666
300017.SZ,网宿科技,20260126,37.155297532656014,31.204644412191573,22.64150943396226
300463.SZ,迈克生物,20260126,-14.788732394366194,-20.845070422535205,-24.50704225352112
300482.SZ,万孚生物,20260126,-18.818466353677618,-23.591549295774637,-28.24726134585289
301080.SZ,百普赛斯,20260126,-27.541456380677715,-36.683489545782265,-36.870944484498914
603045.SH,福达合金,20260126,-3.560318008987214,1.8320082958866268,-2.523332181126859
603132.SH,金徽股份,20260126,-10.201854882705934,-5.728314238952522,-7.80141843971631
603619.SH,中曼石油,20260126,2.222222222222215,41.67471819645733,10.692431561996768
605056.SH,咸亨国际,20260126,4.607428302773862,11.518570756934647,12.599905970850964
000738.SZ,航发控制,20260127,5.810862134447403,-3.15229775921002,-18.002278769464482
002030.SZ,达安基因,20260127,-15.564202334630354,-23.216601815823605,-20.75226977950713
002155.SZ,湖南黄金,20260127,22.15827338129496,39.53237410071942,11.618705035971225
301396.SZ,宏景科技,20260127,-1.2436289500509674,1.5290519877675843,82.74209989806323
600893.SH,航发动力,20260127,-0.43486855109706657,14.311128681557609,-3.0638466100019848
603121.SH,华培动力,20260127,3.3912324234904894,-23.07692307692307,-9.01571546732837
000060.SZ,中金岭南,20260128,-17.016317016317014,-10.95571095571096,-29.02097902097902
000933.SZ,神火股份,20260128,-11.761426978818289,1.1148272017837195,-12.040133779264224
002532.SZ,天山铝业,20260128,-12.35521235521235,-7.384169884169873,-13.272200772200774
002648.SZ,卫星化学,20260128,-5.65881866997109,1.0326311441553075,11.978521272201563
300191.SZ,潜能恒信,20260128,3.138564273789654,56.26043405676127,28.848080133555943
600313.SH,农发种业,20260128,-1.854304635761585,12.317880794701995,2.9139072847682086
600497.SH,驰宏锌锗,20260128,-19.53612845673507,-10.615521855486183,-30.151650312221236
600987.SH,航民股份,20260128,7.481296758104734,-0.997506234413955,-5.6109725685785445
603599.SH,广信股份,20260128,7.097232079488999,1.3484740951029064,2.3420865862313702
605599.SH,菜百股份,20260128,15.154306771073234,9.304467987102715,2.3952095808383214
688191.SH,智洋创新,20260128,15.555555555555555,8.030803080308027,-9.284928492849298
000031.SZ,大悦城,20260129,-2.412868632707771,-10.455764075067027,-24.93297587131368
000560.SZ,我爱我家,20260129,-0.30030030030030724,-1.2012012012012023,-14.714714714714722
001979.SZ,招商蛇口,20260129,-4.503676470588236,-10.84558823529413,-27.113970588235304
002165.SZ,红 宝 丽,20260129,1.5503875968992225,5.167958656330762,-22.65288544358311
002970.SZ,锐明技术,20260129,31.47266458709572,27.877195862748327,2.6432441306846277
300975.SZ,商络电子,20260129,-10.141509433962268,-8.667452830188683,0.41273584905660543
600339.SH,中油工程,20260129,-6.744186046511628,8.139534883720943,9.302325581395356
600722.SH,金牛化工,20260129,8.130081300813021,57.14285714285715,53.31010452961673
600968.SH,海油发展,20260129,-8.384458077709597,3.0674846625766947,-8.384458077709597
601155.SH,新城控股,20260129,-3.809523809523808,-11.708683473389364,-23.529411764705888
002041.SZ,登海种业,20260130,-9.211691762621783,2.745792736935346,-9.920283436669614
600963.SH,岳阳林纸,20260130,2.4390243902438966,4.355400696864111,-17.944250871080143
603919.SH,金徽酒,20260202,-12.844036697247713,-18.974145120934114,-24.812343619683066
688667.SH,菱电电控,20260202,3.022875816993451,16.176470588235293,28.384687208216608
000157.SZ,中联重科,20260203,5.98930481283423,4.812834224598942,-6.310160427807486
301162.SZ,国能日新,20260203,-9.083601286173634,-1.889067524115751,-16.894426580921756
301182.SZ,凯旺科技,20260203,1.5326474910770458,16.145286584085657,28.154524459374336
688097.SH,博众精工,20260203,-2.2323462414578517,23.46241457858771,44.692482915717555
600814.SH,杭州解百,20260205,-13.877551020408173,-17.448979591836743,-22.448979591836743
601187.SH,厦门银行,20260205,-8.827238335435048,-6.68348045397225,-4.539722572509451
688262.SH,国芯科技,20260205,1.8204488778054786,-9.925187032418963,-13.142144638403996
000415.SZ,渤海租赁,20260206,3.6538461538461444,-13.076923076923089,-15.576923076923086
000767.SZ,晋控电力,20260206,7.309941520467836,6.725146198830409,10.233918128654974
603876.SH,鼎胜新材,20260206,12.324141812042775,21.38435565559933,40.12380416432188
603958.SH,哈森股份,20260206,-0.8659981768459493,-8.933454876937104,8.158614402917042
002079.SZ,苏州固锝,20260209,-11.854360711261645,-14.563928873835739,-16.257408975444537
002099.SZ,海翔药业,20260209,-9.806295399515735,-13.680387409200968,-13.922518159806287
300067.SZ,安诺其,20260209,-18.39863713798978,-18.739352640545153,26.064735945485523
300209.SZ,行云科技,20260209,-14.28571428571429,24.8499399759904,51.86074429771909
300861.SZ,美畅股份,20260209,-8.39231547017189,-12.335692618806881,-16.78463094034378
600185.SH,珠免集团,20260209,-20.65217391304347,-21.01449275362318,-30.917874396135264
603150.SH,万朗磁塑,20260209,6.820259645273366,-2.230755165478148,5.19290546717865
603191.SH,望变电气,20260209,5.114401076716018,2.512337371018404,-6.011664423508299
000156.SZ,华数传媒,20260210,-21.26144455747711,-18.311291963377425,-21.9735503560529
000839.SZ,国安股份,20260210,-3.363914373088681,13.761467889908264,-1.5290519877675788
002595.SZ,豪迈科技,20260210,0.5092838196286514,-5.347480106100802,-5.549071618037139
002597.SZ,金禾实业,20260210,-2.7459954233409567,-9.725400457665893,-12.471395881006863
300079.SZ,数码视讯,20260210,-16.86390532544378,-13.313609467455615,-19.970414201183427
300182.SZ,捷成股份,20260210,-25.207100591715964,-25.917159763313606,-31.124260355029577
300251.SZ,光线传媒,20260210,-31.02503912363067,-35.83724569640063,-36.77621283255086
300788.SZ,中信出版,20260210,14.639769452449562,-4.841498559077809,-3.7175792507204792
600088.SH,中视传媒,20260210,-24.887556221889064,-24.687656171914046,-26.58670664667667
600482.SH,中国动力,20260210,14.941373534338362,8.676716917922937,30.653266331658287
603960.SH,克来机电,20260210,3.6659877800407275,-11.446028513238298,-0.04073319755601451
