序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
168,'920017,星昊医药,17.45,1.63%,0.28,1.29万手,50手,17.45,17.47,-0.17%,1.04%,2239万,17.13 ①,化学制剂,17.5,17.23,17.25,17.17,1.57%,0.94,-46.65%,-297手,17.38,4349手,8530手,0.51,112手,2手,1.29,1.25亿,21.8亿元,1.24亿,21.6亿元,-1.36%,-5.01%,2.89%,6.57%
169,'920371,欧福蛋业,8.74,1.63%,0.14,1.20万手,128手,8.72,8.74,0.00%,0.62%,1049万,26.39 ①,农林牧渔,8.84,8.63,8.63,8.6,2.44%,0.77,20.02%,202手,8.74,4585手,7408手,0.62,3手,72手,2.83,2.05亿,18.0亿元,1.95亿,17.0亿元,-2.24%,-5.00%,2.15%,4.59%
170,'920663,明阳科技,16.29,1.62%,0.26,7043手,115手,16.28,16.29,-0.12%,1.10%,1148万,24.75 ①,车身附件及饰件,16.5,15.97,15.97,16.03,3.31%,0.52,-21.89%,-155手,16.31,3080手,3964手,0.78,110手,84手,5.03,1.34亿,21.8亿元,6408万,10.4亿元,-0.65%,-0.22%,4.89%,11.72%
171,'920139,华岭股份,18.8,1.62%,0.3,4.27万手,419手,18.79,18.8,0.00%,1.64%,7927万,亏损 ①,半导体,18.84,18.18,18.39,18.5,3.57%,0.71,1.89%,8手,18.56,1.97万手,2.30万手,0.86,30手,140手,4.91,2.70亿,50.7亿元,2.60亿,48.9亿元,-1.57%,-6.47%,5.58%,13.17%
172,'920252,天宏锂电,24.5,1.62%,0.39,1.36万手,118手,24.47,24.5,-0.08%,1.99%,3323万,270.87 ①,电力设备,24.62,23.9,24.02,24.11,2.99%,0.69,6.38%,18手,24.42,5864手,7745手,0.76,1手,24手,9.47,1.03亿,25.1亿元,6823万,16.7亿元,-2.27%,-7.37%,7.33%,16.42%
173,'920112,巴兰仕,31.63,1.57%,0.49,2326手,7手,31.63,31.64,-0.03%,1.00%,734万,24.30 ①,专用设备,31.76,31,31.38,31.14,2.44%,0.63,13.24%,16手,31.55,942手,1384手,0.68,4手,27手,2.9,8485万,26.8亿元,2318万,7.33亿元,-0.75%,-5.02%,3.92%,9.00%
174,'920130,立方控股,19.38,1.57%,0.3,9920手,86手,19.38,19.39,-0.10%,1.75%,1924万,亏损 ①,IT服务Ⅲ,19.68,18.95,19.27,19.08,3.83%,1.07,1.96%,6手,19.39,4588手,5332手,0.86,9手,50手,3.83,9224万,17.9亿元,5659万,11.0亿元,1.47%,-2.12%,4.98%,9.97%
175,'920580,科创新材,15.52,1.57%,0.24,9.51万手,1508手,15.51,15.52,0.06%,17.37%,1.46亿,63.76 ①,耐火材料,15.87,15.05,15.31,15.28,5.37%,0.77,44.25%,441手,15.39,4.97万手,4.54万手,1.1,360手,204手,3.85,8600万,13.3亿元,5476万,8.50亿元,-17.58%,11.74%,78.09%,129.92%
176,'920819,颖泰生物,3.27,1.55%,0.05,4.62万手,601手,3.27,3.28,0.00%,0.38%,1499万,亏损 ①,农化制品,3.28,3.21,3.24,3.22,2.17%,0.8,11.92%,1421手,3.25,2.11万手,2.51万手,0.84,4228手,1578手,0.84,12.3亿,40.1亿元,12.1亿,39.6亿元,-3.25%,-4.94%,1.51%,2.75%
177,'920566,梓橦宫,10.68,1.52%,0.16,7907手,124手,10.68,10.69,-0.19%,0.70%,844万,16.06 ①,化学制剂,10.77,10.55,10.65,10.52,2.09%,0.6,-3.47%,-12手,10.67,3211手,4695手,0.68,20手,2手,1.81,1.45亿,15.5亿元,1.12亿,12.0亿元,0.28%,-4.64%,2.48%,6.57%
178,'920027,交大铁发,18.24,1.50%,0.27,1.11万手,181手,18.24,18.27,-0.16%,2.64%,2035万,62.81 ①,轨交设备Ⅱ,18.42,17.85,18.07,17.97,3.17%,0.94,42.41%,220手,18.26,5055手,6091手,0.83,88手,21手,3.12,7920万,14.4亿元,4220万,7.70亿元,0.55%,-3.24%,7.49%,16.73%
179,'920098,科隆新材,24.14,1.47%,0.35,4927手,174手,23.99,24.14,0.33%,0.89%,1181万,59.69 ①,橡胶,24.2,23.73,23.75,23.79,1.98%,0.54,56.51%,105手,23.97,2580手,2347手,1.1,5手,2手,2.06,8132万,19.6亿元,5538万,13.4亿元,-2.50%,-4.43%,5.27%,9.15%
180,'920392,佳合科技,19.43,1.46%,0.28,3967手,16手,19.43,19.49,-0.31%,1.10%,773万,134.61 ①,纸包装,19.66,19.21,19.21,19.15,2.35%,0.79,-41.99%,-94手,19.48,1401手,2565手,0.55,7手,68手,4.33,7667万,14.9亿元,3604万,7.00亿元,-0.56%,-2.31%,3.45%,8.03%
181,'920066,科拜尔,22.25,1.46%,0.32,6731手,124手,22.25,22.34,-0.40%,3.39%,1496万,60.34 ①,改性塑料,22.38,21.78,21.82,21.93,2.74%,0.86,-37.32%,-99手,22.23,3226手,3505手,0.92,35手,26手,3.43,6285万,14.0亿元,1987万,4.42亿元,3.06%,0.68%,17.69%,23.02%
182,'920008,成电光信,25.77,1.46%,0.37,4903手,47手,25.76,25.77,0.04%,1.44%,1260万,亏损 ①,国防军工,26.07,25.4,25.4,25.4,2.64%,0.46,6.23%,13手,25.71,1903手,3000手,0.63,50手,17手,5.05,6375万,16.4亿元,3402万,8.77亿元,1.58%,-3.63%,5.81%,17.16%
